"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"LD1117S25CTR","STMicroelectronics","497-1240-1-ND","","3","0.46000","$1.38","4662","0 Weeks","IC REG LINEAR 2.5V 800MA SOT223","RoHS Compliant","Lead free","Not Available"
"SPX1117M3-L-3-3/TR","Exar Corporation","1016-1848-1-ND","","3","0.48000","$1.44","82525","8 Weeks","IC REG LINEAR 3.3V 800MA SOT223","RoHS Compliant","Lead free","Not Available"
"STD35P6LLF6","STMicroelectronics","497-15462-1-ND","","3","1.35000","$4.05","1372","35 Weeks","MOSFET P-CH 60V 35A DPAK","RoHS Compliant","Lead free","Not Available"
"TLJA107M010R1400","AVX Corporation","478-5651-1-ND","","6","1.41000","$8.46","9081","14 Weeks","CAP TANT 100UF 10V 20% 1206","RoHS Compliant","Lead free","Unaffected"
"TPSA106K010H0900","AVX Corporation","478-9031-1-ND","","6","2.05000","$12.30","2520","14 Weeks","CAP TANT 10UF 10V 10% 1206","RoHS non-compliant","Contains lead","Unaffected"
"CER ENG KIT 29","KEMET","399-11680-ND","","1","68.80000","$68.80","18","20 Weeks","CAP KIT CERAMIC 10PF-10UF 1500PC","RoHS Compliant","Lead free","Unaffected"
"RC0603JR-0710KL","Yageo","311-10KGRCT-ND","","10","0.01100","$0.11","9382759","16 Weeks","RES SMD 10K OHM 5% 1/10W 0603","RoHS Compliant","Lead free","Unaffected"
"RC0603FR-0768KL","Yageo","311-68.0KHRCT-ND","","10","0.01500","$0.15","1180700","16 Weeks","RES SMD 68K OHM 1% 1/10W 0603","RoHS Compliant","Lead free","Unaffected"
"RC0603FR-07110KL","Yageo","311-110KHRCT-ND","","10","0.01500","$0.15","494361","16 Weeks","RES SMD 110K OHM 1% 1/10W 0603","RoHS Compliant","Lead free","Unaffected"
"RC0603FR-0742K2L","Yageo","311-42.2KHRCT-ND","","10","0.01500","$0.15","282585","16 Weeks","RES SMD 42.2K OHM 1% 1/10W 0603","RoHS Compliant","Lead free","Unaffected"
"RT0603DRD07499KL","Yageo","311-2372-1-ND","","10","0.20100","$2.01","5794","20 Weeks","RES SMD 499K OHM 0.5% 1/10W 0603","RoHS Compliant","Lead free","Unaffected"
"RC0603JR-071M5L","Yageo","311-1.5MGRCT-ND","","10","0.01100","$0.11","87217","16 Weeks","RES SMD 1.5M OHM 5% 1/10W 0603","RoHS Compliant","Lead free","Unaffected"
"TAJA105M020RNJ","AVX Corporation","478-5748-1-ND","","6","0.35000","$2.10","76553","24 Weeks","CAP TANT 1UF 20V 20% 1206","RoHS Compliant","Lead free","Unaffected"
"68021-116HLF","Amphenol FCI","609-3337-ND","","6","0.88000","$5.28","13866","8 Weeks","CONN HEADER 16POS .100 R/A 30AU","RoHS Compliant","Lead free","Not Available"